,SeqNumber,TimeStamp,ProductID,BidVolume1,AskVolume1,Bid1,Ask1
0,3366939,1689645028.512699836,6213,3,4,744000,747000
0,3375315,1689645037.850611847,2327,5,10,4905000,4910000
0,3377396,1689645039.933577095,3706,142,4,500000,501000
0,3378158,1689645040.634460573,2382,27,68,1945000,1950000
0,3377849,1689645040.319167753,2376,8,35,2875000,2880000
0,3379499,1689645041.626706581,3706,5,69,502000,503000
0,3381226,1689645043.189282500,6669,35,4,18000000,18050000
0,3387587,1689645050.121652708,3706,1,26,502000,503000
0,3388650,1689645051.312449094,3706,52,25,501000,503000
0,3393655,1689645056.146915501,3706,7,2,504000,505000
0,3397966,1689645060.729287564,2618,203,107,368000,369000
0,3401378,1689645063.862681585,3706,1,1,507000,508000
0,3402038,1689645064.496636908,3035,14,32,3095000,3100000
0,3402552,1689645064.867320607,2368,17,36,1725000,1730000
0,3404511,1689645066.851864870,2376,1,19,2890000,2895000
0,3405354,1689645067.762163622,2376,7,10,2885000,2890000
0,3408780,1689645071.002041460,5388,185,2,1120000,1125000
0,3422232,1689645084.722865410,3019,1,2,666000,667000
0,3428403,1689645090.823887287,4938,1,334,829000,830000
0,3429820,1689645092.228919085,4938,1,334,829000,830000
0,3449295,1689645111.508949559,2376,1,20,2905000,2910000
0,3482528,1689645137.563994999,2376,19,24,2915000,2925000
0,3483951,1689645138.760084182,2481,1,14,806000,807000
0,3494652,1689645147.814589590,2376,35,18,2920000,2930000
0,3509937,1689645161.331836377,2376,13,44,2925000,2935000
0,3511096,1689645162.060911960,2376,1,42,2930000,2935000
0,3527388,1689645175.033905363,6414,4,8,3025000,3040000
0,3556382,1689645199.991301102,4938,22,8,833000,834000
0,3560509,1689645203.795982391,2610,83,265,249000,249500
0,3564109,1689645206.918796326,3706,11,37,527000,529000
0,3564710,1689645207.517663391,3706,15,30,527000,529000
0,3566551,1689645209.488719898,3706,5,294,528000,530000
0,3571069,1689645214.100697981,4938,32,23,834000,835000
0,3584805,1689645227.738492392,3035,35,1,3145000,3155000
0,3588014,1689645231.007580273,2610,58,1380,249500,250000
0,3594604,1689645237.855471248,2610,162,838,249500,250000
0,3612094,1689645254.070314494,2027,66,38,473500,475000
0,3621116,1689645262.370665227,2368,8,12,1750000,1755000
